Start date,Subject
2027-02-28,2ㆍ28민주운동 기념일
2027-03-03,납세자의 날
2027-03-03,국립공원의 날
2027-03-08,3ㆍ8민주의거 기념일
2027-03-08,여성의 날
2027-03-15,3ㆍ15의거 기념일
2027-03-17,상공의 날
2027-03-19,의용소방대의 날
2027-03-21,암 예방의 날
2027-03-26,서해수호의 날
2027-04-02,예비군의 날
2027-04-03,4ㆍ3희생자 추념일
2027-04-05,식목일
2027-04-07,보건의 날
2027-04-10,임시의정원 개원기념일
2027-04-11,대한민국임시정부 수립기념일
2027-04-11,도시농업의 날
2027-04-16,국민안전의 날
2027-04-19,4ㆍ19혁명 기념일
2027-04-20,장애인의 날
2027-04-21,과학의 날
2027-04-22,정보통신의 날
2027-04-23,순직의무군경의 날
2027-04-25,법의 날
2027-04-28,충무공 이순신 탄신일
2027-04-28,산업재해근로자의 날
2027-05-01,노동절
2027-05-05,어린이 날
2027-05-08,어버이 날
2027-05-10,유권자의 날
2027-05-10,한부모가족의 날
2027-05-10,양잠인의 날
2027-05-11,동학농민혁명 기념일
2027-05-11,입양의 날
2027-05-14,식품안전의 날
2027-05-15,스승의 날
2027-05-15,세종대왕 나신 날
2027-05-15,가정의 날
2027-05-17,성년의 날
2027-05-18,5ㆍ18민주화운동 기념일
2027-05-19,발명의 날
2027-05-20,세계인의 날
2027-05-21,부부의 날
2027-05-25,실종아동의 날
2027-05-27,우주항공의 날
2027-05-29,해외 파병용사의 날
2027-05-29,의료기기의 날
2027-05-31,바다의 날
2027-05-31,국회 개원기념일
2027-06-01,의병의 날
2027-06-05,환경의 날
2027-06-06,현충일
2027-06-09,구강보건의 날
2027-06-09,기록의 날
2027-06-10,6ㆍ10민주항쟁 기념일
2027-06-10,6ㆍ10만세운동 기념일
2027-06-14,헌혈자의 날
2027-06-21,해양조사의 날
2027-06-24,전자정부의 날
2027-06-25,6ㆍ25전쟁일
2027-06-26,마약퇴치의 날
2027-06-28,철도의 날
2027-06-28,6ㆍ25전쟁 납북자 기억의 날
2027-07-01,사회적기업의 날
2027-07-07,도농교류의 날
2027-07-11,인구의 날
2027-07-14,정보보호의 날
2027-07-14,북한이탈주민의 날
2027-07-18,연안안전의 날
2027-07-27,유엔군 참전의 날
2027-08-08,섬의 날
2027-08-14,일본군위안부 피해자 기림의 날
2027-09-01,통계의 날
2027-09-01,여권통문의 날
2027-09-07,푸른 하늘의 날
2027-09-07,사회복지의 날
2027-09-07,곤충의 날
2027-09-07,화장품의 날
2027-09-09,숙련기술인의 날
2027-09-10,해양경찰의 날
2027-09-13,이산가족의 날
2027-09-18,청년의 날
2027-09-21,치매극복의 날
2027-09-30,조달의 날
2027-09-30,개인정보 보호의 날
2027-10-01,국군의 날
2027-10-02,노인의 날
2027-10-04,동물보호의 날
2027-10-05,세계 한인의 날
2027-10-08,재향군인의 날
2027-10-09,호스피스의 날
2027-10-10,임산부의 날
2027-10-10,정신건강의 날
2027-10-15,스포츠의 날
2027-10-16,부마민주항쟁 기념일
2027-10-16,문화의 날
2027-10-21,경찰의 날
2027-10-24,국제연합일
2027-10-26,금융의 날
2027-10-28,교정의 날
2027-10-29,지방자치 및 균형발전의 날
2027-11-01,임업인의 날
2027-11-03,학생독립운동 기념일
2027-11-09,소방의 날
2027-11-11,농업인의 날
2027-11-11,유엔참전용사 국제추모의 날
2027-11-17,순국선열의 날
2027-11-18,약의 날
2027-11-19,아동학대예방의 날
2027-11-22,김치의 날
2027-12-03,소비자의 날
2027-12-05,무역의 날
2027-12-05,자원봉사자의 날
2027-12-27,원자력 안전 및 진흥의 날
2027-12-29,항공안전의 날
